stock_symbol,operating_profit_sep_2021,operating_profit_sep_2022,eps_sep_2021,eps_sep_2022,promoter_holding_sep_2021,promoter_holding_sep_2022,public_holding_sep_2021,public_holding_sep_2022
SJS,None,None,None,None,None,None,None,None
SKIPPER,41.94,39.81,0.42,0.44,71.89,71.89,18.63,18.24
SMARTLINK,1.04,0.25,0.52,0.37,69.89,69.89,30.11,30.01
SMLT,None,None,None,None,69.83,69.83,30.17,29.46
SNOWMAN,17.98,23.08,0.03,0.16,40.25,40.25,57.99,57.28
SOFTTECH,None,None,None,None,None,None,None,None
SOMANYCERA,56,36,8.24,5.14,54.77,54.79,22.63,22.13
SONACOMS,None,None,None,None,None,None,None,None
SORILINFRA,1.13,1.52,0.25,0.28,64.71,64.71,25.29,24.82
SOUTHBANK,None,None,-0.89,1.07,None,None,76.37,80.54
SPANDANA,72,154,-9.14,6.98,62.29,63.03,20.74,15.43
SPECIALITY,10,20,0.60,2.36,52.53,52.53,46.08,45.24
SPENTEX,-14,-16,-1.18,-1.42,42.10,42.10,57.87,57.87
SPLPETRO,176,79,6.76,3.17,63.96,64.14,32.01,31.31
SPTL,0.22,-0.02,-0.05,-0.06,12.22,7.61,87.49,91.70
SRF,559,687,10.52,14.81,50.77,50.53,19.64,16.23
SRPL,3.31,2.78,0.77,0.48,None,None,None,None
STARCEMENT,37,51,0.56,0.58,66.89,67.42,26.47,26.03
STARPAPER,7,24,4.37,13.58,45.17,44.93,54.79,52.82
STEELCAS,18,28,4.85,8.68,46.07,46.07,52.53,53.84
STEL,5.78,3.15,2.34,1.27,58.21,61.18,41.42,38.61
STOVEKRAFT,None,None,None,None,None,None,None,None
SUBCAPCITY,-0.38,2.70,-1.24,5.45,None,None,None,None
SUDARSCHEM,47.50,36.22,2.53,0.30,35.73,35.82,45.11,45.84
SUMIT,0.49,1.05,-0.20,-0.01,None,None,None,None
SUNDARAM,3.07,3.53,0.03,0.04,31.05,31.05,67.02,67.01
SUNDRMBRAK,0.53,-1.83,-1.40,-9.25,65.54,65.54,34.46,34.47
SUNPHARMA,864,1663,3.37,5.06,54.48,54.48,11.72,9.80
SUNTECK,13,-6,0.32,-0.68,67.15,67.12,8.75,7.66
SUNTV,521,525,9.98,10.17,75.00,75.00,13.59,11.27
SUPERHOUSE,11.53,9.51,5.66,3.86,54.88,54.88,44.63,44.37
SUPERSPIN,1.88,-2.21,-0.48,-0.60,42.80,42.80,57.20,57.19
SUPREMEENG,None,None,None,None,None,None,None,None
SURANASOL,1.43,0.60,0.03,0.02,70.34,64.77,29.62,35.19
SURYAROSNI,101,129,8.15,12.50,62.96,62.96,30.66,33.93
SUULD,250.27,2.79,34.21,0.17,None,None,None,None
SUVENPHAR,122,107,4.53,3.10,None,None,None,None
SVPGLOB,5.14,4.48,0.11,0.02,67.58,67.58,32.33,32.42
SWELECTES,7.67,14.52,3.07,2.73,56.37,56.36,43.63,43.64
SYNGENE,177,216,1.66,2.53,70.42,64.86,9.82,11.11
TAKE,0.99,2.51,0.06,0.11,53.41,53.41,44.76,46.19
TANTIACONS,-2.74,-9.51,2.12,0.91,72.88,72.88,27.12,27.10
TARMAT,1.79,1.05,0.69,0.40,39.90,36.15,60.09,63.85
TASTYBITE,3.12,20.04,5.14,37.06,74.23,74.23,21.64,21.18
TATACOMM,532,450,8.83,8.26,58.86,58.86,10.06,10.22
TATAINVEST,74,89,13.21,17.04,73.38,73.38,24.06,24.83
TATAMTRDVR,None,None,None,None,7.67,7.67,43.99,44.71
TATASTLLP,242,-75,29.88,-73.92,74.91,74.91,19.50,20.12
TBZ,20.62,22.75,0.99,0.84,74.12,74.12,24.50,24.94
TCIEXP,45,51,8.84,9.81,66.70,66.66,21.05,21.04
TCPLPACK,36,56,11.74,44.56,55.74,55.74,37.81,40.10
TEAMLEASE,21,20,-30.95,15.14,32.51,31.51,11.79,10.11
TECHM,1526,948,16.08,11.94,35.70,35.21,11.67,12.81
TEJASNET,18.19,25.08,0.31,0.61,0.00,52.20,79.82,32.82
TEXINFRA,-1.60,0.34,0.06,0.20,64.89,64.99,34.12,33.93
TEXRAIL,38,42,0.18,0.42,56.55,58.35,31.74,32.24
TGBHOTELS,-5.43,-0.20,-5.38,0.05,31.71,31.71,68.29,68.30
THEMISMED,23,21,16.44,14.71,67.18,67.17,32.81,32.80
THOMASCOTT,0.11,1.15,0.21,1.43,68.03,61.05,31.97,38.94
TI,28,31,0.70,0.81,44.24,41.95,55.61,47.70
TIINDIA,193,251,6.30,7.38,46.49,46.45,12.61,12.74
TIMESGTY,-0.12,-0.22,-0.16,-0.22,74.92,74.92,25.03,25.03
TIMKEN,None,None,None,None,67.80,67.80,15.82,16.16
TIRUMALCHM,43,53,2.52,3.52,41.98,42.01,55.42,55.99
TNTELE,-0.43,-0.47,-0.56,-0.61,63.63,63.63,12.35,15.35
TORNTPOWER,860,1037,7.41,10.26,53.57,53.56,17.50,16.99
TOUCHWOOD,0.83,0.47,0.71,0.28,None,None,None,None
TREJHARA,0.92,3.33,0.41,2.34,30.00,29.99,69.33,69.00
TRIGYN,-1.98,-6.05,0.45,-2.30,44.51,44.51,55.24,55.48
TRITURBINE,35,38,5.14,0.99,67.78,55.94,4.39,5.67
TTKPRESTIG,136,119,7.12,6.18,70.41,70.41,6.54,6.86
TV18BRDCST,53,-5,0.18,-0.07,60.40,60.40,27.24,28.14
TVSSRICHAK,62,79,32.45,46.78,45.36,45.37,51.67,53.21
UBL,166,219,3.05,5.08,72.71,72.72,5.86,5.32
UDAICEMENT,31.56,24.08,0.33,0.07,72.54,72.54,27.19,27.24
UGARSUGAR,7,3,-0.52,-1.20,45.42,44.51,54.58,55.05
UJAAS,0.02,-0.07,-3.97,-0.26,0.01,0.01,99.99,99.99
ULTRACEMCO,2600,1716,45.04,24.82,59.96,59.96,8.91,8.50
UMESLTD,0.02,0.05,0.00,0.00,41.86,41.50,51.12,54.10
UNIENTER,-1,-1,6.79,5.65,73.78,73.78,10.83,10.83
UNITECH,-29,-5,-5.30,-0.85,5.13,5.14,93.59,93.61
UNIVASTU,2.23,4.05,0.42,1.78,None,None,None,None
UPL,496,716,1.91,4.48,27.96,28.96,18.95,18.28
USHAMART,57,68,1.38,1.48,49.79,48.30,41.56,42.04
UTTAMSTL,-18,-15,-6.18,-4.79,16.25,2.97,83.63,96.93
V2RETAIL,15,7,-1.50,-3.89,53.56,53.57,39.84,38.45
VAISHALI,2.22,2.59,1.33,1.89,None,None,None,None
VARDHACRLC,4.41,10.48,0.30,0.86,None,None,None,None
VASCONEQ,10,23,0.18,1.00,34.95,31.99,65.03,67.86
VBL,329,501,2.25,4.43,64.89,63.90,6.62,6.62
VENKEYS,47,-21,21.78,-14.59,56.11,56.11,43.06,42.89
VERANDA,None,None,None,None,None,None,None,None
VETO,6.33,7.22,5.12,2.77,55.74,55.74,41.98,44.25
VHL,41.65,1.43,101.52,11.94,74.90,74.90,21.11,24.11
VIJAYA,None,None,None,None,None,None,None,None
VIKASLIFE,-0.73,4.44,0.02,0.02,14.81,12.27,85.17,78.15
VIMTALABS,20,25,4.30,5.91,37.46,37.46,61.14,60.02
VINEETLAB,None,None,None,None,None,None,None,None
VIPIND,34,50,1.67,2.28,50.28,51.33,22.17,19.14
VISASTEEL,5,3,-1.10,-1.27,58.88,38.33,19.17,39.72
VISHNU,24,52,8.85,27.26,75.00,75.00,24.80,23.75
VIVIDHA,-0.11,0.11,-0.02,-0.01,5.63,5.63,94.33,94.30
VMART,21,54,-7.17,-5.72,46.44,46.10,9.75,10.87
VRLLOG,113,99,5.60,3.56,69.59,69.59,9.99,10.21
VSTIND,104,93,51.73,59.68,32.16,32.16,49.31,49.14
WABAG,45,39,3.13,5.47,21.70,19.12,57.46,63.20
WATERBASE,1.73,2.32,0.04,0.05,68.85,68.99,31.11,30.95
WEIZMANIND,0.66,3.31,-0.06,1.22,69.01,67.88,30.99,32.12
WELCORP,38,73,1.32,5.57,50.01,49.90,33.52,29.87
WELSPUNIND,261.20,60.41,1.26,0.08,70.36,70.36,16.05,17.35
WEWIN,None,None,None,None,None,None,None,None
WHIRLPOOL,129,72,6.19,3.20,75.00,75.00,11.05,9.45
WINDLAS,None,None,None,None,None,None,None,None
WIPRO,3068,3045,4.36,4.16,73.02,72.96,14.92,12.29
WONDERLA,-4,19,-1.64,1.86,69.76,69.74,19.32,20.28
XCHANGING,4.40,3.51,1.01,0.33,75.00,75.00,24.59,24.63
XPROINDIA,17,19,6.12,9.08,50.02,50.02,49.78,49.43
YUKEN,9.59,6.41,4.63,1.98,52.50,52.50,47.48,47.48
ZEEMEDIA,39.15,23.42,-1.87,0.01,8.52,4.34,83.04,87.23
ZENSARTECH,98,61,3.03,1.89,49.12,49.16,14.18,29.13
ZODIAC,None,None,None,None,None,None,None,None
ZOTA,4.93,5.23,1.32,1.68,None,None,None,None
ZYDUSLIFE,484,679,0.14,4.46,74.88,74.98,9.69,9.47
ADFFOODS,16,15,5.38,5.96,31.42,36.60,56.88,47.00
ADORWELD,13.03,15.14,10.77,7.34,56.90,56.90,36.30,37.99
ADROITINFO,0.77,0.82,0.19,0.29,52.17,52.17,47.83,47.82
ADSL,4.33,4.01,0.13,0.60,49.98,52.95,50.01,46.50
ADVENZYMES,18,19,1.15,1.22,52.55,49.88,22.52,22.86
AEGISCHEM,88,74,1.75,2.87,58.07,58.07,24.71,23.06
AFFLE,13,17,1.19,1.11,59.89,59.89,17.57,16.69
AGI,57,85,4.70,5.25,60.24,60.23,29.59,29.96
AGRITECH,-0.68,-0.19,0.13,0.27,45.47,31.10,54.47,68.85
AGROPHOS,1.34,3.08,0.40,0.66,None,None,None,None
AHLADA,None,None,None,None,None,None,None,None
AHLEAST,-1.80,0.97,-0.66,0.81,65.63,65.63,33.71,33.95
AIAENG,130,291,11.70,24.75,58.47,58.47,2.64,2.77
AIROLAM,None,None,None,None,None,None,None,None
AJANTPHARM,233,161,15.17,13.05,70.34,70.48,8.43,8.15
AJOONI,None,None,None,None,None,None,None,None
AKASH,1.54,0.70,0.25,0.12,None,None,None,None
AKG,None,None,None,None,None,None,None,None
AKSHAR,None,None,None,None,49.19,43.74,50.81,56.19
AKSHOPTFBR,12.00,7.61,0.19,0.02,27.95,27.95,71.80,71.96
ALANKIT,7,4,0.22,-1.21,54.86,54.86,44.30,45.12
ALBERTDAVD,13,14,22.20,35.29,61.35,61.99,34.97,34.43
ALICON,19,40,0.11,8.41,55.71,55.72,34.84,35.79
ALKALI,4.67,2.22,3.13,0.48,69.64,69.59,30.36,29.86
ALKYLAMINE,75,81,10.59,10.26,72.03,71.99,24.55,24.57
ALLCARGO,55,89,1.05,3.98,69.95,69.91,19.54,18.74
ALMONDZ,1.42,1.07,0.76,0.37,58.31,59.81,41.14,39.08
ALOKINDS,118,3,-0.15,-0.38,75.00,75.00,22.88,22.37
ALPHAGEO,-3.25,-4.53,-10.35,-5.39,46.09,46.09,52.59,51.75
ALPSINDUS,1,-1,-3.87,-3.59,27.06,27.06,72.93,72.94
AMBER,7,-4,-1.68,-7.02,40.27,40.31,21.91,19.36
AMBIKCO,68,43,79.48,49.05,50.17,50.17,48.69,45.92
AMBUJACEM,703,304,2.22,0.69,63.21,63.22,6.74,9.13
AMIORG,None,None,None,None,None,None,None,None
ANANDRATHI,None,None,None,None,None,None,None,None
ANDREWYU,12,22,0.58,0.52,89.25,89.25,8.52,8.52
ANSALAPI,-3.52,10.12,-0.33,0.47,48.77,48.77,47.40,48.42
ANURAS,None,None,None,None,None,None,None,None
APCL,22,1,1.82,-2.81,75.00,75.00,24.12,24.80
APLLTD,216,245,7.28,7.45,69.48,69.61,13.58,12.52
APOLSINHOT,4.29,4.92,9.65,12.23,None,None,None,None
ARCHIDPLY,5.47,6.19,1.34,1.51,69.89,69.89,30.11,30.12
ARIHANTSUP,15.60,6.02,3.15,1.46,74.31,74.71,25.36,23.19
ARSSINFRA,-18.99,-3.60,-6.83,1.51,46.70,46.70,53.30,53.30
ARVEE,1.70,3.26,0.66,1.86,None,None,None,None
ASAHISONG,11.88,9.16,5.71,2.83,66.64,66.73,33.12,32.95
ASHAPURMIN,-5.92,-7.38,0.12,-0.81,44.58,44.79,34.21,38.75
ASHOKLEY,135,537,-0.28,0.68,51.54,51.54,12.50,11.29
ASIANTILES,23.71,10.67,4.11,0.68,26.12,29.02,73.23,69.50
ASTRAMICRO,11,40,0.34,2.61,8.71,8.28,88.16,88.52
ATGL,231,226,1.44,1.27,74.80,74.80,2.67,1.94
AURIONPRO,10.30,8.01,2.12,3.94,33.00,33.00,66.66,64.90
AUTOIND,12,6,0.31,2.67,31.64,33.40,48.61,54.30
AVROIND,None,None,None,None,None,None,None,None
AXISCADES,1.07,13.34,-1.04,0.72,67.95,66.53,32.05,33.37
BAJAJ-AUTO,1401,1759,44.05,52.87,53.70,54.84,22.24,21.99
BAJAJFINSV,300,625,1.50,3.05,60.80,60.75,23.50,24.60
BALAJITELE,-4.04,2.07,-0.47,-0.04,34.34,34.34,47.34,47.36
BALKRISIND,520,445,19.51,20.89,58.30,58.30,13.73,9.84
BANARBEADS,1.68,1.17,2.18,1.54,57.80,57.80,42.20,42.19
BANDHANBNK,None,None,-18.68,1.30,39.99,39.99,23.90,13.25
BANSWRAS,30,50,3.43,10.26,58.79,57.82,33.83,30.80
BASML,47,-2,2.73,-2.39,55.55,55.33,44.17,44.34
BCP,0.10,0.42,-0.01,0.05,10.66,24.74,89.11,75.05
BEL,856,856,0.84,0.84,51.14,51.14,4.81,5.88
BERGEPAINT,304,318,1.97,1.96,74.99,74.99,9.88,10.71
BHAGCHEM,16,20,8.16,12.03,24.90,24.44,73.04,75.35
BHARATFORG,485,453,6.70,5.76,45.25,45.26,13.81,10.72
BHARATWIRE,13,31,0.17,2.39,37.60,36.81,52.45,55.58
BIGBLOC,4.18,7.21,0.39,0.69,71.09,72.27,28.91,27.28
BIOFILCHEM,0.37,0.16,0.13,0.03,46.82,46.82,53.10,53.09
BLBLIMITED,4.00,2.88,0.55,0.38,70.45,70.45,29.55,29.55
BLUESTARCO,55,70,2.20,3.13,38.76,38.79,27.83,26.36
BOROLTD,43,38,2.20,2.34,None,None,None,None
BRIGADE,129,129,3.57,3.96,43.96,43.82,17.99,17.46
BROOKS,1.19,-0.27,0.43,-0.33,66.41,66.41,33.59,33.58
BURNPUR,0,1,-2.14,-2.35,27.57,27.28,72.43,72.71
CAMLINFINE,3,42,-0.55,1.19,21.61,17.55,54.35,57.60
CANBK,None,None,7.35,13.92,62.93,62.93,15.62,11.72
CAPLIPOINT,71,57,8.61,7.59,69.03,68.88,28.02,27.85
CARERATING,35,45,10.10,12.98,None,None,60.98,56.99
CCCL,-4,-7,-0.55,-0.59,15.51,15.16,26.50,27.70
CELEBRITY,4.97,6.22,0.27,0.34,41.82,38.66,48.62,44.96
CENTRUM,7,-11,-0.05,-0.52,38.16,38.23,56.70,56.95
CEREBRAINT,13.68,4.11,0.83,0.10,7.10,5.05,75.47,94.17
CHEMCON,18.93,9.59,3.98,2.13,None,None,None,None
CHEVIOT,24,19,40.58,30.00,74.77,74.83,24.76,24.70
CHOLAHLDNG,28,28,1.14,1.18,48.62,48.61,14.07,12.62
CLEAN,None,None,None,None,None,None,None,None
CMSINFO,None,None,None,None,None,None,None,None
COFORGE,108,112,20.84,19.19,50.18,40.06,10.50,12.47
CONFIPET,55,50,1.04,0.78,57.96,60.07,35.47,36.58
CORALFINAC,5.26,3.03,1.12,0.76,75.00,75.00,24.63,24.58
COUNCODOS,0.27,0.37,0.03,0.03,53.86,53.86,46.14,46.14
CREDITACC,None,None,4.62,10.17,73.91,73.74,6.52,4.25
CSBBANK,None,None,6.83,6.95,49.72,49.72,30.06,31.75
CUMMINSIND,259,291,7.93,9.10,51.00,51.00,12.42,11.90
CYIENT,119,82,7.61,4.39,23.43,23.37,18.11,19.35
DALMIASUG,86,7,7.32,1.45,74.91,74.91,23.90,23.73
DBCORP,101,90,3.07,2.74,71.81,72.33,11.85,10.62
DCAL,26,1,-0.18,-1.10,59.32,59.32,30.13,30.22
DCMFINSERV,-0.26,-0.08,-0.02,0.03,39.50,39.50,54.23,54.23
DECCANCE,38.67,16.82,16.66,4.69,56.24,56.25,37.09,34.77
DEEPENR,0.02,1.68,0.00,0.56,63.99,67.99,30.15,30.31
DELTAMAGNT,0.47,-3.07,-1.23,-4.63,71.23,71.23,28.68,28.68
DEVIT,None,None,None,None,None,None,None,None
DHANBANK,None,None,0.14,0.63,None,None,88.50,88.31
DHUNINV,8,13,10.02,16.40,74.95,74.95,24.91,24.91
DIL,None,None,None,None,None,None,None,None
DLINKINDIA,16,30,3.37,6.24,51.02,51.02,48.95,48.73
DOLATALGO,44,38,1.92,2.35,74.49,74.49,25.48,25.44
DPWIRES,8.61,12.00,4.40,6.66,None,None,None,None
DTIL,11,30,22.85,31.34,68.90,68.90,29.04,29.07
DYNPRO,8.48,9.64,4.41,0.80,29.75,30.26,69.99,69.50
EASTSILK,0.71,-2.42,0.01,-0.35,51.28,51.28,46.80,46.80
EDUCOMP,-22,-25,-6.93,-20.44,44.78,44.77,54.39,54.76
EIHOTEL,-12,78,-0.81,0.43,35.74,35.74,47.07,46.22
ELECTCAST,115,149,1.26,1.08,55.29,44.08,30.50,38.47
EMAMILTD,264,183,4.10,3.26,53.86,54.27,8.14,7.58
EMKAY,8.78,6.71,1.04,1.52,74.51,74.49,25.01,24.75
ENDURANCE,212,232,8.70,9.33,75.00,75.00,1.64,1.88
EPL,50,48,2.53,1.99,51.91,51.91,18.58,19.99
EROSMEDIA,-29,-32,-0.88,-4.38,49.00,48.07,43.08,46.10
ESSENTIA,0.10,-0.17,0.00,0.05,63.55,20.81,31.89,76.55
EVERESTIND,9.80,6.36,6.80,2.08,50.72,50.52,47.12,41.77
EXIDEIND,413,412,2.76,2.90,45.99,45.99,22.58,25.71
FCL,13,14,0.93,1.08,64.82,65.00,28.43,30.64
FDC,72,51,4.36,3.09,69.35,69.49,21.48,19.75
FIBERWEB,5.33,2.42,1.08,0.57,46.33,46.33,53.48,53.49
FINOPB,None,None,None,None,None,None,None,None
FMGOETZE,34,46,2.52,4.78,74.98,74.98,23.33,23.32
FOODSIN,15,27,1.28,2.76,45.21,42.55,54.79,57.27
FSC,16,-11,-9.71,-6.84,23.09,21.95,76.85,77.99
GAIL,3475,1765,4.30,2.34,51.85,51.90,4.14,6.47
GANDHITUBE,14,19,8.41,12.64,72.99,73.52,26.84,26.26
GANGESSECU,5.60,10.13,5.54,7.51,64.02,66.64,33.22,33.36
GAYAHWS,0.94,-0.78,-0.15,-0.07,61.15,61.16,31.86,34.77
GENESYS,8.71,10.91,2.07,2.45,48.01,40.66,45.52,52.69
GEOJITFSL,59,42,1.66,1.06,62.11,56.22,36.33,41.70
GFSTEELS,-0.03,-0.09,-0.01,-0.03,70.12,70.12,29.86,29.85
GILLANDERS,24,29,8.85,10.91,69.08,69.08,27.93,30.07
GKWLIMITED,8.32,10.02,10.72,12.27,None,None,None,None
GLFL,-0.06,-0.04,0.00,0.01,45.67,45.67,54.32,54.32
GLS,None,None,None,None,None,None,None,None
GMMPFAUDLR,51,42,6.66,4.75,54.95,56.06,28.22,26.63
GOACARBON,9,58,6.73,38.67,59.72,59.72,40.27,40.27
GODHA,None,None,None,None,None,None,None,None
GOENKA,-0.23,-0.38,-0.01,-0.01,57.55,57.55,38.38,38.99
GOLDENTOBC,0.53,-0.41,-0.30,-0.88,30.04,30.04,69.86,69.77
GPIL,416,232,20.69,12.50,67.50,67.50,30.57,29.49
GRANULES,93,186,1.86,4.39,41.98,42.02,32.30,29.56
GREAVESCOT,4,33,0.36,0.98,55.63,55.54,31.20,32.86
GREENPOWER,-2.03,-2.65,-0.04,-0.09,48.73,34.53,45.17,60.33
GROBTEA,15,16,122.17,138.35,None,None,None,None
GSFC,324,394,5.68,7.26,37.84,37.84,34.87,32.61
GTPL,73,71,2.94,2.36,75.00,75.00,14.70,15.60
GUJRAFFIA,0.52,-0.27,0.74,0.37,39.27,39.55,60.73,60.46
HAL,1243,1610,25.37,36.16,75.15,75.15,17.16,4.53
HARIOMPIPE,None,None,None,None,None,None,None,None
HAVISHA,-0.11,0.21,-0.00,0.01,34.20,34.20,65.41,65.42
